,AA,DL,year, month,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
4214,0,1,2014,6,848.0,145.0,54.40,6.74,54.56,0.0,29.30,0.0,8.0,7119.0,2861.0,270.0,2431.0,0.0,1557.0
4215,0,1,2015,10,848.0,56.0,26.59,0.06,10.53,0.0,18.82,0.0,0.0,3399.0,1781.0,4.0,281.0,0.0,1333.0
4216,0,1,2016,10,848.0,52.0,17.91,2.12,22.15,0.0,9.82,34.0,3.0,2787.0,1104.0,140.0,859.0,0.0,684.0
4229,0,1,2014,8,847.0,141.0,44.88,6.22,71.43,0.0,18.48,3.0,5.0,7301.0,2759.0,729.0,2734.0,0.0,1079.0
4230,0,1,2014,11,847.0,108.0,24.48,3.93,51.73,0.0,27.86,0.0,0.0,4901.0,847.0,321.0,1743.0,0.0,1990.0
4241,0,1,2006,10,846.0,201.0,60.08,1.83,77.88,1.0,60.22,17.0,0.0,8317.0,2658.0,185.0,2480.0,24.0,2970.0
4259,0,1,2011,8,845.0,178.0,47.43,5.42,84.38,0.0,40.76,11.0,3.0,10410.0,2832.0,277.0,3859.0,0.0,3442.0
4262,0,1,2015,3,845.0,154.0,60.23,6.86,41.29,0.0,45.63,15.0,0.0,9591.0,3484.0,693.0,1878.0,0.0,3536.0
4269,0,1,2006,11,844.0,207.0,54.99,3.27,105.25,0.0,43.49,9.0,2.0,7977.0,2376.0,104.0,3380.0,0.0,2117.0
4270,0,1,2007,1,844.0,149.0,47.24,2.35,59.31,0.0,40.10,8.0,1.0,5708.0,1992.0,130.0,1758.0,0.0,1828.0
4275,0,1,2011,6,844.0,178.0,55.83,9.85,61.23,0.0,51.10,5.0,2.0,10650.0,2605.0,593.0,2784.0,0.0,4668.0
4284,0,1,2010,11,843.0,140.0,49.11,2.06,54.42,0.0,34.41,2.0,0.0,5881.0,2638.0,99.0,1533.0,0.0,1611.0
4286,0,1,2011,7,843.0,233.0,50.01,16.42,127.99,0.0,38.59,7.0,3.0,16403.0,4612.0,1346.0,7423.0,0.0,3022.0
4297,0,1,2013,3,842.0,117.0,62.91,2.81,29.79,0.0,21.49,34.0,0.0,7358.0,4514.0,343.0,1084.0,0.0,1417.0
4299,0,1,2015,5,842.0,140.0,48.42,7.16,54.43,0.0,29.98,1.0,0.0,7206.0,2331.0,643.0,2127.0,0.0,2105.0
